gender,noun,plural,translation
der,Vokalwechsel,-,the vowel change
die,Notiz,-en,the note
das,Stichwort,-e/-er,the keyword
der,Tagesablauf,-e,the daily routine
das,Interview,-s,the interview
die,Zeit,-en,the time
das,Eis,(Sg.),the ice
der,Film,-e,the film
die,Zeitung,-en,the newspaper
die,Freizeitaktivität,-en,the freetime activity
das,Geräusch,-e,the noise
die,Musik,(Sg.),the music
die,Freizeit,(Sg.),the free time
das,Ende,-n,the end
der,Infinitiv,-e,the infinitive
das,Wochenende,-n,the weekend
die,Aktivität,-en,the activity
die,Karte,-n,the map
die,Chips,(Pl.),the chips
die,Einladung,-en,the invitation
der,Filmabend,-e,the movie night
die,Haltestelle,-n,the bus stop
das,Popcorn,(Sg.),the popcorn
der,Anrufbeantworter,-,the answering machine
das,Kettenspiel,-e,the chain game
das,Gemüse,(Sg.),the vegetable
die,Karotte,-n,the carrot
die,Kartoffel,-n,the potato
das,Olivenöl,-e,olive oil
die,Paprika,-s,the paprika
der,Pilz,-e,the mushroom
der,Reis,(Sg.),the rice
der,Salat,-e,the salad
die,Tomate,-n,the tomato
die,Wurst,-e,the sausage
die,Zucchini,-s,the zucchini
die,Zwiebel,-n,the onion
das,Fleisch,(Sg.),the meat
der,Gemüsereis,(Sg.),the vegetable rice
der,Kartoffelsalat,-e,the potato salad
die,Kartoffelsuppe,-n,the potato soup
die,Spaghetti,-/-s,the spaghetti
die,Tomatensoße,-n,the tomato sauce
der,Einkaufszettel,-,the shopping list
der,Gemüseladen,-,the vegetable shop
die,Kettenübung,-en,the chain exercise
die,Dose,-n,the tin
die,Flasche,-n,the bottle
das,Gramm,-,the gram
der,Kasten,-,the box
das,Kilo,-s,the kilo
der,Liter,-,the liter
die,Menge,-n,the amount
die,Nudel,-n,the noodle
das,Stück,-e,the piece
die,Verpackung,-en,the packaging
der,Einkaufswagen,-/-,the Shopping Cart
die,Bohne,-n,the bean
das,Ei,-er,the egg
der,Fisch,-e,the fish
die,Marmelade,-n,the jam
die,Orange,-n,the Orange
die,Zitrone,-n,the lemon
der,Kühlschrank,-e,the refrigerator
die,Butter,(Sg.),the butter
der,Einkaufsdialog,-e,the purchasing dialogue
die,Mitteilung,-en,the message
der,Nachtisch,-e,the dessert
der,Wein,-e,the wine
das,Besteck,-e,the cutlery
die,Blume,-n,the flower
die,Gabel,-n,the fork
der,Löffel,-,the spoon
das,Messer,-,the knife
die,Salatsoße,-n,the salad dressing
die,Serviette,-n,The napkin
der,Teller,-,the dish
das,Kompliment,-e,the compliment
die,Suppe,-n,the soup
die,Arbeit,-en,the work
das,Croissant,-s,the croissant
das,Frühstück,-e,breakfast
der,Joghurt,-s,the yogurt
das,Kind,-er,the child
der,Kiosk,-e,the kiosk
das,Müsli,-s,the cereal
die,Pause,-n,the break
die,Schule,-n,the school
die,Teeküche,-n,the tea kitchen
der,Textabschnitt,-e,the text section
die,U-Bahn,-en,the subway
der,Weg,-e,the way
das,Partnerinterview,-s,the partner interview
die,Schokolade,-n,the chocolate
der,Alkohol,(Sg.),the alcohol
das,Sprechtraining,-s,the speaking training
der,Bergkäse,-,the mountain cheese
der,Döner,-,the kebab
der,Emmentaler,-,the Emmentaler
der,Kaiserschmarren,-,the Kaiserschmarren
die,Käsespätzle,(Pl.),the cheese spaetzle
das,Labskaus,(Sg.),the Labskaus
der,Matjes,-,the herring
die,Mehlspeise,-n,the pastry
das,Restaurant,-s,the restaurant
das,Rindfleisch,(Sg.),the beef
die,Rösti,(Sg.),the hash browns
der,Schweizer,-,the Swiss
die,Spezialität,-en,the specialty
die,Süßspeise,-n,the sweet dish
der,Weißwein,-e,the white wine
der,Wiener,-,the Viennese
das,Modell,-e,the model
das,Testtraining,-s,the test training
das,Fragezeichen,-,questionmark
die,Prüfung,-en,the exam
die,Schauspielerin,-nen,the actress
der,Bruder,-,the brother
die,Eltern,(Pl.),the parents
das,Geschwister,-,the sibling
die,Großeltern,(Pl.),the grandparents
die,Mutter,-,the mother
die,Oma,-s,the grandma
der,Onkel,-,the uncle
der,Opa,-s,the grandpa
die,Tante,-n,the aunt
die,Tochter,-,the daughter
der,Vater,-er,the father
das,Familienfest,-e,the family celebration
das,Familienfoto,-s,the family photo
der,Großvater,-,the grandpa
das,Schach,(Sg.),Chess
der,Smalltalk,(Sg.),the small talk
die,Terminvereinbarung,-en,the appointment arrangement
der,DJ,-s,the DJ
die,Firmenfeier,-n,the company party
der,Hip-Hop,(Sg.),the hip hop
das,Hobby,-s,the hobby
die,Homepage,-s,the homepage
das,Lieblingsbuch,-er,the favorite book
das,Lieblingsessen,(Sg.),the favorite food
die,Lieblingsfarbe,-n,the favorite color
der,Lieblingsfilm,-e,the favorite film
die,Lieblingsmusik,(Sg.),the favorite music
der,Rock,-e,the skirt
der,Spinat,(Sg.),the spinach
der,Wunsch,-e,the desire
das,Pferd,-e,the horse
das,Smartphone,-s,the smartphone
der,Fehler,-,the error
das,Familienmitglied,-er,the family member
das,Fernsehen,(Sg.),the television
die,Pommes,(Pl.),The french fries
das,Steak,-s,the steak
der,Ich-Laut,-e,the I sound
das,Curry,-s,the curry
der,Arzt,-e,the doctor
der,Freitagnachmittag,-e,the Friday afternoon
der,Kindergarten,-,the kindergarten
der,Raum,-e,the space
der,Samstagvormittag,-e,the Saturday morning
der,Arzttermin,-e,the doctor's appointment
die,Mama,-s,the mom
das,Modalverb,-en,the modal verb
der,Stress,(Sg.),the stress
der,Betreff,-s,the subject
der,Blumenstrauß,-e,the bouquet
die,CD,-s,the CD
die,Torte,-n,the pie
das,Satzende,-n,the end of the sentence
die,Satzklammer,-n,the brackets
die,Hausaufgabe,-n,the homework
das,Thema,Themen,the topic
das,Lieblingslied,-er,the favourite song
die,Disco,-s,the disco
der,Spaß,-e,the fun
das,Präteritum,(Sg.),the past tense
das,Klassentreffen,-,the class reunion
der,Unterricht,(Sg.),the lesson
die,Szene,-n,the scene
der,Balkon,-e/-s,the balcony
die,Wohnung,-en,the apartment
der,Gastgeber,-,the host
die,Wohnungstür,-en,the apartment door
das,Arbeitszimmer,-,the study
das,Bad,-er,the bathroom
das,Kinderzimmer,-,the children's room
die,Küche,-n,the kitchen
das,Schlafzimmer,-,the bedroom
das,Wohnzimmer,-,the living room
das,Zimmer,-,the room
die,Reihenfolge,-n,the chronological order
der,Flur,-e,the corridor
die,Garage,-n,the garage
der,Garten,-,the garden
die,Gästetoilette,-n,the guest toilet
der,Keller,-,the cellar
das,Badezimmer,-,the bathroom
das,Wechselspiel,-e,the interplay
die,Dusche,-n,the shower
das,Sofa,-s,the sofa
die,Sprachenschule,-n,The languageschool
die,Gedankenblase,-n,the thought bubble
der,Gegensatz,-e,the opposite
der,Platz,-e,the space
der,Kettensatz,-e,the chain set
das,Haus,-er,the house
der,Sessel,-,the armchair
der,Sommer,-,the summer
der,Urlaub,-e,the holidays
das,Internet,(Sg.),the Internet
der,Buchstabe,-n,the letter
der,Hausflur,-e,the hallway
das,Haustier,-e,the pet
die,Heizung,-en,the heating system
der,Hof,-e,the yard
der,Kinderwagen,-,the stroller
die,Nebenkosten,(Pl.),the additional costs
das,Skateboard,-s,the skateboard
die,Erlaubnis,-se,the permission
das,Internetforum,-foren,the internet forum
das,Verbot,-e,the ban
das,Schild,-er,the shield
das,Baby,-s,the baby
das,Geld,-er,the money
der,Mensch,-en,the human being
die,Million,-en,the million
die,Möbel,(Pl.),the furniture
die,Überschrift,-en,the heading
die,Wohngemeinschaft,-en,the housemates
die,Terasse,-n,the terrace
die,Anzeige,-n,the ad
die,Größe,-n,the size
die,Kaltmiete,-n,the basic rent
der,Nachmieter,-,the next tenant
der,Quadratmeter,-,the square meter
die,Südseite,-n,the south side
die,Terrasse,-n,the terrace
die,Toilette,-n,the toilet
die,Warmmiete,-n,the warm rent
die,Wohnungsanzeige,-n,the Appartement announce
die,Zwei-Zimmer-Wohnung,-en,the two-room apartment
die,Abkürzung,-en,the abbreviation
die,Drei-Zimmer-Wohnung,-en,the three-room apartment
die,Fünf-Zimmer-Wohnung,-en,the five-room apartment
die,Aufzählung,-en,the list
der,Satzakzent,-e,the sentence accent
der,Wohnungsgrundriss,-e,the apartment floor plan
die,Wohnungsbesichtigung,-en,the apartment inspection
das,Laufdiktat,-e,the running dictate
der,Geburtstag,-e,the birthday
die,Mail,-s,the mail
die,Unterschrift,-en,the signature
der,Verdienst,-e,the merit
das,Kino,-s,the cinema
der,Kursanbieter,-,the course provider
das,Lernziel,-e,the learning goal
die,Verabredung,-en,the appointment
das,Veranstaltungsprogramm,-e,the event program
der,Ball,-e,the ball
der,Park,-s,the park
das,Wetter,-,the weather
die,Frisbee®,-s,the Frisbee®
die,Endung,-en,the ending
der,Eintritt,-e,the entry
das,Familienfilm-Festival,-s,the family film festival
der,Lauftreff,-s,the running club
die,Öffnungszeiten,(Pl.),the opening times
der,Olympiapark,-s,the Olympic Park
die,Reise,-n,the trip
das,Schwimmbad,-er,the pool
das,Sommerkonzert,-e,the summer concert
die,Sportkneipe,-n,the sports bar
der,Stadtpark,-s,the city park
der,Treffpunkt,-e,the meeting point
das,Konzert,-e,the concert
die,Stunde,-n,the hour
die,Tour,-en,The Tour
die,Fahrradtour,-en,the bicycle tour
die,Idee,-n,the idea
das,Würstchen,-,the little sausage
das,Partizip,-ien,participle
das,Perfekt,(Sg.),the perfect
die,Vergangenheit,-en,the past
die,Unterschrift,-en,the signature
die,Radtour,-en,the bike ride
die,Alpen,(Pl.),the Alps
die,Erzieherin,-nen,the educator
das,Filmmuseum,Filmmuseen,the film museum
der,Fluss,-e,the river
die,Heimat,-en,the homeland
der,Job,-s,the job
das,Murmeltier,-e,the marmot
die,Ostsee,(Sg.),the Baltic Sea
das,Picknick,-s,The picnic
das,Restaurant,-s,the restaurant
der,Segelkurs,-e,the sailing course
die,Stadtführung,-en,the City tour
der,Tourist,-en,the tourist
die,Wanderung,-en,the hike
die,Hausfrau,-en,the housewife
der,Anfänger,-,the beginner
das,Angebot,-e,the offer
die,Bezahlung,-en,the payment
das,Eltern-Kind-Turnen,(Sg.),parent-child gymnastics
die,Ermäßigung,-en,reduction
das,Judo,(Sg.),the judo
der,Junge,-n,the young
die,Kletterhalle,-n,the climbing hall
der,Kletterkurs,-e,the climbing course
die,Kosten,(Pl.),the costs
das,Mädchen,-,the girl
der,Service,-s,the service
die,Sporthalle,-n,the gym
der,Teilnehmer,-,of the participants
die,Überweisung,-en,the transfer
die,Probestunde,-n,the trial lesson
das,Praktikum,Praktika,the internship
der,Arbeitsauftrag,-e,the work order
der,Bericht,-e,the report
der,Betrieb,-e,the operation
das,Porträt,-s,the portrait
der,Sprachkurs,-e,the language course
die,Stellensuche,(Sg.),the job search
die,Tätigkeit,-en,the activity
die,Verständnisfrage,-n,the question of understanding
die,Auskunft,-e,the information
die,Erfahrung,-en,the experience
der,Supermarkt,-e,the supermarket
die,Waschmaschine,-n,the washing machine
die,Partizip-Form,-en,the participle form
die,Vorsilbe,-n,the prefix
der,Wortanfang,-e,the beginning of the word
das,Arbeitsamt,er,the employment office
der,Arbeitstag,-e,the working day
der,Automechaniker,-,the car mechanic
der,Bahnhof,-e,the station
der,Blog,-s,the blog
das,Café,-s,the cafe
der,Kellner,-,the waiter
der,Sachbearbeiter,-,the official
die,Werkstatt,-en,the workshop
die,Bewegung,-en,the movement
das,Präsens,(Sg.),the present tense
der,Satzteil,-e,the sentence part
die,Autotechnik,-en,car technology
der,Betriebsrat,-e,the works council
die,Buchhaltung,(Sg.),the accounting
das,Erdgeschoss,-e,the ground floor
die,Geschäftsführung,-en,The Board
das,Lager,-,the warehouse
das,Personalbüro,-s,the personnel office
der,Wegweiser,-,The Guide
die,Besprechung,-en,the meeting
der,Hausmeister,-,the janitor
die,Kantine,-n,the canteen
der,Arbeitsvertrag,-e,the employment contract
die,Chefin,-nen,the boss
der,Motor,-en,the motor
die,Tür,-en,the door
die,Arbeitszeit,-en,the working hours
der,Ausweis,-e,the ID card
das,Bürgeramt,-er,the citizens' office
der,Pass,-e,the passport
die,Meldebescheinigung,-en,the registration certificate
die,Passnummer,-n,the passport number
der,Vertrag,-e,the contract
der,Verbstamm,-e,the verb stem
die,Partnerin,-nen,the partner
die,Bank,-en,the Bank
die,EC-Karte,-n,the EC card
die,IBAN,-s,the IBAN
das,Konto,Konten,the account
die,PIN,-s,the PIN
der,Vergleich,-e,the comparison
die,Ansage,-n,the announcement
das,Anmeldeformular,-e,the registration form
die,Anschrift,-en,address
die,Ehefrau,-en,the wife
das,Geburtsland,-er,the country of birth
der,Geburtsort,-e,the birthplace
die,Staatsangehörigkeit,-en,nationality
das,Computerspiel,-e,the computer game
der,Ehemann,-er,the husband
die,Köchin,-nen,the Cook
die,Liebe,(Sg.),love
das,Motorrad,-er,the motorcycle
der,Motorradführerschein,-e,the motorcycle license
der,Musikunterricht,(Sg.),the music lessons
die,Physik,(Sg.),the physic
die,Prüfung,-en,the exam
die,Jahreszahl,-en,the year
der,Zeitstrahl,-en,the timeline
der,Minidialog,-e,the mini dialogue
die,Sängerin,-nen,the singer
der,Affe,-n,the monkey
der,Ausflug,-e,the excursion
der,Club,-s,the club
der,Künstler,-,the artist
die,Kunst-Maschine,-n,the art machine
das,Museum,Museen,the museum
die,Pferdekutsche,-n,the horse-drawn carriage
das,Tier,-e,the animal
der,Tiergarten,-,the zoo
der,Zoo,-s,the zoo
das,Fragezeichen,-,questionmark
die,Kneipe,-n,the pub
die,Minute,-n,the minute
die,Beispielprüfung,-en,the sample exam
der,Einkauf,-e,the purchase
der,Wortschatz,-e,vocabulary
der,Beispieldialog,-e,the example dialog
der,Geburtstag,-e,the birthday
das,Geburtstagsgeschenk,-e,the birthday present
das,Geschenk,-e,the gift
der,Glückwunsch,-e,the congratulation
die,Jahreszeit,-en,the season
die,Nachfrage,-n,demand
der,Test,-s,the test
die,Ordinalzahl,-en,the ordinal number
der,Frühling,-e,the spring
der,Herbst,-e,the autumn
der,Winter,-,the winter
der,Inliner,-,the inliner
der,Autofahrer,-,the car driver
der,Musiker,-,the musician
der,Physiker,-,the physicist
die,Schauspielerin,-nen,the actress
der,Staatsbürger,-,the citizen
der,Feiertag,-e,the holiday
das,Datum,Daten,the date
die,Zeitangabe,-n,the time indication
der,Geburtstagskalender,-,the birthday calendar
die,Geburtstagskette,-n,the birthday necklace
der,Anruf,-e,the calling
der,Durst,(Sg.),the thirst
die,Feier,-n,the party
das,Lied,-er,the song
die,Polizei,-en,the police
die,Präposition,-en,the preposition
der,Ausflug,-e,the excursion
die,Lust,-e,the lust
die,Anrede,-n,the salutation
die,Antwort-Mail,-s,the reply email
der,Foto-Kalender,-,the photo calendar
der,Musikgutschein,-e,the music voucher
die,DVD,-s,the DVD
der,Gutschein,-e,the voucher
das,Pronomen,-,the pronoun
das,Würfelspiel,-e,The Dice Game
das,Hörbuch,-er,the audio book
der,Anfang,-e,the beginning
der,Dativ,-e,the dativ
die,Geburtstagsfeier,-n,the birthdayparty
die,Hochzeit,-en,the wedding
das,Hochzeitsfest,-e,the wedding feast
die,Kerze,-n,the candle
der,Laden,-,the store
das,Licht,-er,the light
das,Mal,-e,that time
die,Mitternacht,-e,midnight
der,Schluss,-e,the end
die,Süßigkeit,-en,the sweet
der,Weihnachtsmarkt,-e,Christmas market
der,Weihnachtsschmuck,(Sg.),the Christmas decorations
die,Weihnachtszeit,(Sg.),the Christmas time
das,Leben,-,the life
das,Lebensjahr,-e,the year of life
der,Minidialog,-e,the mini dialogue
die,Möglichkeit,-en,the possibility
der,Partyservice,-s,the party service
der,Dom,-e,the cathedral
der,Marktplatz,-e,the marketplace
das,Rathaus,-er,the town hall
der,Zug,-e,the train
die,Chatnachricht,-en,the chat message
die,Durchsage,-n,the announcement
die,Fahrkarte,-n,the ticket
der,Fahrkartenschalter,-,ticket office
die,Postkarte,-n,the postcard
die,Wegbeschreibung,-en,the directions
die,Minute,-n,the minute
die,Straßenbahn,-en,the tram
der,Kursteilnehmer,-,the course member
die,Abfahrt,-en,the farewell
die,Ankunft,-e,the arrival
das,Gleis,-e,the track
die,Hinfahrt,-en,the outward journey
der,ICE,-s,the ICE
die,Rückfahrkarte,-n,the return ticket
die,Rückfahrt,-en,the return journey
das,Reiseziel,-e,the travel destination
der,Konsonant,-en,the consonant
der,Ausgang,-e,the exit
die,Bäckerei,-en,the bakery
der,Eingang,-e,the entrance
der,Hauptbahnhof,-e,the central station
die,Kreuzung,-en,the crossing
der,Plan,-e,the plan
die,Richtung,-en,the direction
das,Zentrum,Zentren,the center
der,Imperativ,-e,The imperative
die,Orientierung,(Sg.),the orientation
das,Museum,Museen,the museum
der,Stadtplan,-e,the city map
die,Touristeninformation,-en,tourist information
der,Meter,-,the meter
das,Auswandererhaus,-er,the emigrants' house
der,Leuchtturm,-e,the lighthouse
das,Meer,-e,the sea
das,Schifffahrtsmuseum,Schifffahrtsmuseen,the maritime museum
das,Schiff,-e,the ship
das,Theater,-,the theater
die,Führung,-en,the leadership
das,Heimatland,-er,the home country
die,Heimatstadt,-e,the hometown
die,Hansestadt,-e,the Hanseatic city
das,Boot,-e,the boat
der,Bürgerpark,-s,the citizen park
der,Einwohner,-,The residents
der,Esel,-,the donkey
das,Geschäft,-e,the business
der,Hahn,-e,the rooster
das,Märchen,-,the tale
der,Norden,(Sg.),the North
der,Osten,(Sg.),The East
die,Sehenswürdigkeit,-en,the sight
das,Stadtzentrum,Stadtzentren,the city center
der,Süden,(Sg.),the South
das,UNESCO-Weltkulturerbe,(Sg.),the UNESCO World Heritage Site
der,Westen,(Sg.),the West
das,Plakat,-e,the poster
die,Lieblingsstadt,-e,the favorite city
die,Bahn,-en,the train
das,Bistro,-s,the bistro
die,Fachkraft,-e,the specialist
der,Fahrgast,-e,the passenger
der,Fahrschein,-e,the driver's license
das,Gastgewerbe,(Sg.),the hospitality industry
der,Kunde,-n,the customer
der,Lokführer,-,the train driver
der,Reiseberater,-,the travel advisor
das,Reisezentrum,Reisezentren,the travel center
der,Schaffner,-,the conductor
der,Zugbegleiter,-,the train conductor
das,Zugrestaurant,-s,the train restaurant
der,Joker,-,the Joker
das,Hotel,-s,the hotel
das,Krankenhaus,-er,the hospital
der,Parkplatz,-e,the car park
der,Spielplatz,-e,the playground
die,Bauarbeiten,(Pl.),The construction works
die,Linie,-n,the line
der,Mitarbeiter,-,the employee
die,Sonderausstellung,-en,the special exhibition
die,Geste,-n,the gesture
der,Prüfungsteil,-e,the exam part
das,Bett,-en,the bed
die,Erkältung,-en,the common cold
das,Fieber,(Sg.),the fever
die,Anordnung,-en,the order
die,Apotheke,-n,the pharmacy
der,Apotheker,-,the pharmacist
die,Arbeitsunfähigkeitsbescheinigung,-en,the certificate of incapacity for work
das,Berufsporträt,-s,the professional portrait
das,Einkaufsgespräch,-e,the shopping conversation
der,Flyer,-,the flyer
der,Körperteil,-e,the bodypart
der,Krankenpfleger,-,the male nurse
die,Kurznachricht,-en,the short message
der,Sportpark,-s,the sports park
der,Kopf,-e,the head
die,Krankmeldung,-en,the sick note
die,Versicherungskarte,-n,The insurance card
der,Kreis,-e,The circle
der,Körper,-,the body
der,Arm,-e,the arm
das,Auge,-n,the eye
der,Bauch,-e,the belly
das,Bein,-e,the leg
der,Finger,-,the finger
das,Haar,-e,the hair
der,Hals,-e,the neck
die,Hand,-e,the hand
das,Knie,-,the knee
die,Nase,-n,the nose
das,Ohr,-en,the ear
