Gender,Noun,Plural,Translation
die,Paprika,s,the paprika
der,Pilz,e,the mushroom
der,Salat,e,the salad
die,Tomate,n,the tomato
die,Wurst,e,the sausage
die,Zucchini,s,the zucchini
die,Zwiebel,n,the onion
das,Lebensmittel,,the food
der,Kartoffelsalat,e,the potato salad
die,Kartoffelsuppe,n,the potato soup
das,Schnitzel,,the schnitzel
die,Spaghetti,s,the spaghetti
die,Tomatensoße,n,the tomato sauce
der,Einkaufszettel,,the shopping list
der,Gemüseladen,,the vegetable shop
die,Kettenübung,en,the chain exercise
die,Dose,n,the tin
die,Flasche,n,the bottle
das,Gramm,,the gram
der,Kasten,,the box
das,Kilo,s,the kilo
der,Liter,,the liter
die,Menge,n,the amount
die,Nudel,n,the noodle
die,Packung,en,the package
das,Stück,e,the piece
die,Verpackung,en,the packaging
der,Einkaufswagen,,the Shopping Cart
die,Bohne,n,the bean
das,Ei,er,the egg
der,Fisch,e,the fish
die,Marmelade,n,the jam
die,Orange,n,the Orange
die,Zitrone,n,the lemon
der,Kühlschrank,e,the refrigerator
der,Einkaufsdialog,e,the purchasing dialogue
der,Käufer,,the buyer
die,Mitteilung,en,the message
der,Nachtisch,e,the dessert
der,Wein,e,the wine
das,Besteck,e,the cutlery
die,Blume,n,the flower
die,Gabel,n,the fork
der,Löffel,,the spoon
das,Messer,,the knife
die,Salatsoße,n,the salad dressing
die,Serviette,n,The napkin
der,Teller,,the dish
das,Kompliment,e,the compliment
die,Suppe,n,the soup
die,Arbeit,en,the work
der,Arbeitsplatz,e,the workplace
der,Bäcker,,the Baker
der,Coffeetogo,s,the Coffeetogo
das,Croissant,s,the croissant
das,Frühstück,e,breakfast
der,Joghurt,s,the yogurt
das,Kind,er,the child
der,Kiosk,e,the kiosk
das,Müsli,s,the cereal
die,Schule,n,the school
die,Teeküche,n,the tea kitchen
der,Textabschnitt,e,the text section
der,Weg,e,the way
das,Partnerinterview,s,the partner interview
die,Schokolade,n,the chocolate
das,Sprechtraining,s,the speaking training
der,Bergkäse,,the mountain cheese
die,Currywurst,,the currywurst
der,Döner,,the kebab
der,Emmentaler,,the Emmentaler
der,Handkäse,,the hand cheese
die,Kaffeespezialität,en,the coffee specialty
der,Kaiserschmarren,,the Kaiserschmarren
der,Matjes,,the herring
die,Mehlspeise,n,the pastry
das,Restaurant,s,the restaurant
der,Schweizer,,the Swiss
die,Spezialität,en,the specialty
die,Süßspeise,n,the sweet dish
der,Weißwein,e,the white wine
der,Wiener,,the Viennese
das,Modell,e,the model
das,Testtraining,s,the test training
das,Fragezeichen,,questionmark
die,Prüfung,en,the exam
die,Schauspielerin,nen,the actress
der,Bruder,,the brother
das,Geschwister,,the sibling
die,Mutter,,the mother
die,Oma,s,the grandma
der,Onkel,,the uncle
der,Opa,s,the grandpa
die,Schwester,n,the sister
die,Tante,n,the aunt
die,Tochter,,the daughter
der,Vater,er,the father
das,Familienfest,e,the family celebration
das,Familienfoto,s,the family photo
der,Großvater,,the grandpa
die,Terminvereinbarung,en,the appointment arrangement
der,Architekt,en,the architect
die,Firmenfeier,n,the company party
das,Hobby,s,the hobby
die,Homepage,s,the homepage
der,Journalist,en,the journalist
das,Lieblingsbuch,er,the favorite book
die,Lieblingsfarbe,n,the favorite color
der,Lieblingsfilm,e,the favorite film
der,Rock,e,the skirt
der,Single,s,the single
der,Wunsch,e,the desire
das,Pferd,e,the horse
das,Smartphone,s,the smartphone
der,Fehler,,the error
das,Familienmitglied,er,the family member
der,Taxifahrer,,The taxi driver
die,Farbe,n,the color
das,Steak,s,the steak
das,Curry,s,the curry
der,Partner,,the partner
der,Arzt,e,the doctor
der,Freitagnachmittag,e,the Friday afternoon
der,Kindergarten,,the kindergarten
der,Raum,e,the space
der,Samstagvormittag,e,the Saturday morning
der,Arzttermin,e,the doctor's appointment
die,Mama,s,the mom
das,Modalverb,en,the modal verb
der,Betreff,s,the subject
der,Blumenstrauß,e,the bouquet
die,Torte,n,the pie
das,Satzende,n,the end of the sentence
die,Satzklammer,n,the brackets
die,Hausaufgabe,n,the homework
das,Lieblingslied,er,the favourite song
die,Disco,s,the disco
der,Spaß,e,the fun
das,Klassentreffen,,the class reunion
die,Szene,n,the scene
der,Balkon,es,the balcony
die,Wohnung,en,the apartment
der,Gastgeber,,the host
die,Wohnungstür,en,the apartment door
das,Arbeitszimmer,,the study
das,Bad,er,the bathroom
das,Kinderzimmer,,the children's room
die,Küche,n,the kitchen
das,Schlafzimmer,,the bedroom
das,Wohnzimmer,,the living room
das,Zimmer,,the room
die,Reihenfolge,n,the chronological order
der,Flur,e,the corridor
die,Garage,n,the garage
der,Garten,,the garden
die,Gästetoilette,n,the guest toilet
der,Keller,,the cellar
das,Badezimmer,,the bathroom
das,Wechselspiel,e,the interplay
die,Dusche,n,the shower
das,Sofa,s,the sofa
die,Sprachenschule,n,The languageschool
das,Adjektiv,e,the adjective
die,Gedankenblase,n,the thought bubble
der,Gegensatz,e,the opposite
die,Miete,n,the rent
der,Nachbar,n,the neighbor
der,Platz,e,the space
der,Kettensatz,e,the chain set
das,Haus,er,the house
der,Sessel,,the armchair
der,Sommer,,the summer
der,Urlaub,e,the holidays
der,Buchstabe,n,the letter
der,Hausflur,e,the hallway
das,Haustier,e,the pet
die,Heizung,en,the heating system
der,Hof,e,the yard
der,Kinderwagen,,the stroller
der,Monat,e,the month
das,Skateboard,s,the skateboard
der,Vermieter,,the landlord
die,Erlaubnis,se,the permission
das,Internetforum,foren,the internet forum
der,Mieter,,the tenant
das,Verbot,e,the ban
das,Schild,er,the shield
das,Baby,s,the baby
das,Geld,er,the money
der,Mensch,en,the human being
die,Million,en,the million
die,Überschrift,en,the heading
die,Wohngemeinschaft,en,the housemates
die,Terasse,n,the terrace
die,Anzeige,n,the ad
die,Größe,n,the size
die,Kaltmiete,n,the basic rent
der,Nachmieter,,the next tenant
der,Quadratmeter,,the square meter
die,Südseite,n,the south side
die,Terrasse,n,the terrace
die,Toilette,n,the toilet
die,Warmmiete,n,the warm rent
die,Wohnungsanzeige,n,the Appartement announce
die,Abkürzung,en,the abbreviation
die,Aufzählung,en,the list
der,Satzakzent,e,the sentence accent
der,Wohnungsgrundriss,e,the apartment floor plan
die,Wohnungsbesichtigung,en,the apartment inspection
das,Laufdiktat,e,the running dictate
der,Geburtstag,e,the birthday
die,Mail,s,the mail
die,Unterschrift,en,the signature
der,Verdienst,e,the merit
